impl	n	op	median_ns	min_ns	p25_ns	p75_ns	bits/elem
sux	1000	encode	17115	11172	11679	18123	8.64
sux	1000	decode	4041	3765	3998	4113	
sux	1000	access	8	8	8	8	
sux	1000	nextGEQ	25	24	24	26	
sdsl	1000	encode	10670	9086	10166	11670	8.328
sdsl	1000	decode	6395	6363	6387	6407	
sdsl	1000	access	11	10	10	11	
sdsl	1000	nextGEQ	36	36	36	37	
ocaml	1000	encode	3096	2969	2993	3234	5.0
ocaml	1000	decode	2345	2271	2324	2369	
ocaml	1000	access	36	35	35	36	
ocaml	1000	nextGEQ	102	94	100	106	
extracted	1000	encode	17598	15789	16830	19888	5.0
extracted	1000	decode	4694	4607	4663	4713	
extracted	1000	access	59	58	58	59	
extracted	1000	nextGEQ	139	136	138	140	
sux	10000	encode	266671	264558	264712	276024	6.2272
sux	10000	decode	31378	30995	31207	33549	
sux	10000	access	9	8	8	9	
sux	10000	nextGEQ	26	24	25	26	
sdsl	10000	encode	180970	171852	176511	187562	6.3496
sdsl	10000	decode	58842	58554	58659	59016	
sdsl	10000	access	13	13	13	14	
sdsl	10000	nextGEQ	36	35	35	37	
ocaml	10000	encode	27913	27817	27850	30261	5.0
ocaml	10000	decode	21755	21327	21608	21843	
ocaml	10000	access	35	34	35	36	
ocaml	10000	nextGEQ	104	100	104	106	
extracted	10000	encode	174439	160578	171691	181011	5.0
extracted	10000	decode	44960	44769	44933	44988	
extracted	10000	access	70	69	69	72	
extracted	10000	nextGEQ	174	170	173	176	
sux	100000	encode	2803484	2764734	2781540	2832255	5.98144
sux	100000	decode	320674	317210	318964	331808	
sux	100000	access	9	9	9	9	
sux	100000	nextGEQ	27	26	27	27	
sdsl	100000	encode	512916	494670	499867	522548	6.58312
sdsl	100000	decode	621061	597141	607585	626173	
sdsl	100000	access	16	15	15	17	
sdsl	100000	nextGEQ	43	42	43	44	
ocaml	100000	encode	279470	276871	277373	290716	5.0
ocaml	100000	decode	229946	214231	217149	251886	
ocaml	100000	access	38	36	36	39	
ocaml	100000	nextGEQ	112	110	111	113	
extracted	100000	encode	1807669	1727539	1777525	1823544	5.0
extracted	100000	decode	492221	453279	480012	503734	
extracted	100000	access	84	81	81	86	
extracted	100000	nextGEQ	207	199	202	209	
sux	1000000	encode	30080664	29104479	29535218	30469385	5.95578
sux	1000000	decode	3426267	3370136	3412310	3484436	
sux	1000000	access	10	10	10	11	
sux	1000000	nextGEQ	31	29	31	31	
sdsl	1000000	encode	5501833	5304584	5430932	5546518	6.60372
sdsl	1000000	decode	5841362	5718004	5759666	5894916	
sdsl	1000000	access	16	16	16	17	
sdsl	1000000	nextGEQ	52	51	51	53	
ocaml	1000000	encode	3211046	3136965	3163755	3259042	5.0
ocaml	1000000	decode	2503732	2396147	2442599	2558536	
ocaml	1000000	access	42	40	41	42	
ocaml	1000000	nextGEQ	125	117	119	134	
extracted	1000000	encode	21340947	20051663	20809027	21915005	5.0
extracted	1000000	decode	5035230	4889818	4969268	5075238	
extracted	1000000	access	99	90	96	114	
extracted	1000000	nextGEQ	255	221	229	264	
sux	10000000	encode	339605131	329359601	335100823	341735278	5.95341
sux	10000000	decode	37096484	36400054	36743790	37312751	
sux	10000000	access	14	14	14	14	
sux	10000000	nextGEQ	46	43	43	49	
sdsl	10000000	encode	58661214	58165690	58292663	58978701	6.30595
sdsl	10000000	decode	69400285	68652006	68880833	69835761	
sdsl	10000000	access	27	26	26	29	
sdsl	10000000	nextGEQ	97	76	80	108	
ocaml	10000000	encode	52068678	50853184	51643528	53186158	5.0
ocaml	10000000	decode	44171248	43541944	43781517	44669068	
ocaml	10000000	access	136	116	121	142	
ocaml	10000000	nextGEQ	242	222	239	251	
extracted	10000000	encode	236125347	229986094	233871752	236717318	5.0
extracted	10000000	decode	72781090	71178747	71776347	73866463	
extracted	10000000	access	192	175	183	197	
extracted	10000000	nextGEQ	338	326	334	341	
sux	100000000	encode	3420750094	3388650055	3414077178	3442521052	5.95315
sux	100000000	decode	371517230	367926172	369086129	373110197	
sux	100000000	access	34	31	33	38	
sux	100000000	nextGEQ	144	119	123	154	
sdsl	100000000	encode	629654402	621022879	625266176	636156936	5.88756
sdsl	100000000	decode	696916456	686531466	689760717	700720061	
sdsl	100000000	access	65	59	61	80	
sdsl	100000000	nextGEQ	272	211	236	300	
ocaml	100000000	encode	545516035	538273084	542715055	550313098	5.0
ocaml	100000000	decode	475767024	466228293	467207724	501675053	
ocaml	100000000	access	241	210	213	256	
ocaml	100000000	nextGEQ	386	359	375	391	
extracted	100000000	encode	2383854166	2360149025	2381072465	2402528258	5.0
extracted	100000000	decode	771358615	758023007	767494571	780969616	
extracted	100000000	access	276	253	270	281	
extracted	100000000	nextGEQ	461	440	453	472	
